t1,t2,seqnr
1678787101641352866,1678787101643379393,232
1678787101741352879,1678787101743379032,233
1678787101841352670,1678787101843378747,234
1678787101941352853,1678787101943379045,235
1678787102041353076,1678787102043379228,236
1678787102141352818,1678787102143379284,237
1678787102241352728,1678787102243378790,238
1678787102341352858,1678787102343378976,239
1678787102441356310,1678787102443382483,240
1678787102541352925,1678787102543378866,241
1678787102641353022,1678787102643378678,242
1678787102741352754,1678787102743378970,243
1678787102841352628,1678787102843378755,244
1678787102941352730,1678787102943378876,245
1678787103041352661,1678787103043378701,246
1678787103141352656,1678787103143378741,247
1678787103241352730,1678787103243378787,248
1678787103341352674,1678787103343378650,249
1678787103441356193,1678787103443382332,250
1678787103541352664,1678787103543378717,251
1678787103641352916,1678787103643380091,252
1678787103741352873,1678787103743379144,253
1678787103841352635,1678787103843378768,254
1678787103941352805,1678787103943379083,255
1678787104041353303,1678787104043379373,256
1678787104141352842,1678787104143378950,257
1678787104241352781,1678787104243378877,258
1678787104341352667,1678787104343378802,259
1678787104441356685,1678787104443382925,260
1678787104541352804,1678787104543378945,261
1678787104641353116,1678787104643380433,262
1678787104741352940,1678787104743379241,263
1678787104841352667,1678787104843378930,264
1678787104941352777,1678787104943378918,265
1678787105041352708,1678787105043378909,266
1678787105141352713,1678787105143378812,267
1678787105241352789,1678787105243378999,268
1678787105341352713,1678787105343378769,269
1678787105441356167,1678787105443382111,270
1678787105541352796,1678787105543378858,271
1678787105641352971,1678787105643382293,272
1678787105741352938,1678787105743379159,273
1678787105841352712,1678787105843379716,274
1678787105941352647,1678787105943379217,275
1678787106041352759,1678787106043379046,276
1678787106141352625,1678787106143378776,277
1678787106241352747,1678787106243378899,278
1678787106341352656,1678787106343378806,279
1678787106441356118,1678787106443382370,280
1678787106541352757,1678787106543378867,281
1678787106641353024,1678787106643380859,282
1678787106741352827,1678787106743379128,283
1678787106841352702,1678787106843378864,284
1678787106941352640,1678787106943378915,285
1678787107041352884,1678787107043379076,286
1678787107141352699,1678787107143378836,287
1678787107241352839,1678787107243378824,288
1678787107341352730,1678787107343378804,289
1678787107441356272,1678787107443382397,290
1678787107541352863,1678787107543378974,291
1678787107641352946,1678787107643379299,292
1678787107741352862,1678787107743379132,293
1678787107841352792,1678787107843378997,294
1678787107941352700,1678787107943378941,295
1678787108041352843,1678787108043378992,296
1678787108141352634,1678787108143378778,297
1678787108241352719,1678787108243378728,298
1678787108341352826,1678787108343379129,299
1678787108441356028,1678787108443382148,300
1678787108541352759,1678787108543378850,301
1678787108641353006,1678787108643380609,302
1678787108741352714,1678787108743379046,303
1678787108841352865,1678787108843379016,304
1678787108941352647,1678787108943378946,305
1678787109041352816,1678787109043378971,306
1678787109141352682,1678787109143378849,307
1678787109241352623,1678787109243378732,308
1678787109341352766,1678787109343378878,309
1678787109441355897,1678787109443381967,310
1678787109541352737,1678787109543379120,311
1678787109641353053,1678787109643382239,312
1678787109741352627,1678787109743378969,313
1678787109841352830,1678787109843379069,314
1678787109941352677,1678787109943378888,315
1678787110041352720,1678787110043378927,316
1678787110141352794,1678787110143378778,317
1678787110241353277,1678787110243379283,318
1678787110341352899,1678787110343378736,319
1678787110441356619,1678787110443382207,320
1678787110541352682,1678787110543378580,321
1678787110641353089,1678787110643380146,322
1678787110741352747,1678787110743378781,323
1678787110841353098,1678787110843378623,324
1678787110941352746,1678787110943378373,325
1678787111041352799,1678787111043377775,326
1678787111141352868,1678787111143378565,327
1678787111241352652,1678787111243378439,328
1678787111341352760,1678787111343378428,329
1678787111441356026,1678787111443381829,330
1678787111541352759,1678787111543378622,331
1678787111641353124,1678787111643380337,332
1678787111741352860,1678787111743379034,333
1678787111841352670,1678787111843378661,334
1678787111941352580,1678787111943378516,335
1678787112041352640,1678787112043378542,336
1678787112141352659,1678787112143378781,337
1678787112241352631,1678787112243378253,338
1678787112341352601,1678787112343377810,339
1678787112441356171,1678787112443382128,340
1678787112541352699,1678787112543378728,341
1678787112641354915,1678787112643383978,342
1678787112741352946,1678787112743379214,343
1678787112841352777,1678787112843378757,344
1678787112941352815,1678787112943378847,345
1678787113041352714,1678787113043377858,346
1678787113141352838,1678787113143378895,347
1678787113241352630,1678787113243378636,348
1678787113341352712,1678787113343378765,349
1678787113441356313,1678787113443382283,350
1678787113541352823,1678787113543378856,351
1678787113641357940,1678787113643386289,352
1678787113741353109,1678787113743379498,353
1678787113841352792,1678787113843378833,354
1678787113941352817,1678787113943379055,355
1678787114041352726,1678787114043378971,356
1678787114141352712,1678787114143378862,357
1678787114241352771,1678787114243378858,358
1678787114341352747,1678787114343378935,359
1678787114441356313,1678787114443382779,360
1678787114541352755,1678787114543378728,361
1678787114641352669,1678787114643378907,362
1678787114741352834,1678787114743378996,363
1678787114841353189,1678787114843379370,364
1678787114941352832,1678787114943378873,365
1678787115041352858,1678787115043379111,366
1678787115141352733,1678787115143378066,367
1678787115241352750,1678787115243378809,368
1678787115341352724,1678787115343378842,369
1678787115441356130,1678787115443382015,370
1678787115541352714,1678787115543378821,371
1678787115641356452,1678787115643384809,372
1678787115741353078,1678787115743379504,373
1678787115841352849,1678787115843379121,374
1678787115941352671,1678787115943378952,375
1678787116041352802,1678787116043390229,376
1678787116141352731,1678787116143378894,377
1678787116241352809,1678787116243379183,378
1678787116341352762,1678787116343378999,379
1678787116441356205,1678787116443382424,380
1678787116541352838,1678787116543379063,381
1678787116641359532,1678787116643388998,382
1678787116741352948,1678787116743379168,383
1678787116841352741,1678787116843378569,384
1678787116941352715,1678787116943379079,385
1678787117041352837,1678787117043379063,386
1678787117141352770,1678787117143378834,387
1678787117241352832,1678787117243378926,388
1678787117341352724,1678787117343378905,389
1678787117441356052,1678787117443382119,390
1678787117541352828,1678787117543378946,391
1678787117641357148,1678787117643384246,392
1678787117741352954,1678787117743379355,393
1678787117841352748,1678787117843379142,394
1678787117941352778,1678787117943379040,395
1678787118041352826,1678787118043379081,396
1678787118141352801,1678787118143378917,397
1678787118241352657,1678787118243378914,398
1678787118341352855,1678787118343379013,399
1678787118441356013,1678787118443382130,400
1678787118541352911,1678787118543379220,401
1678787118641358469,1678787118643387473,402
1678787118741353081,1678787118743379361,403
1678787118841352783,1678787118843378832,404
1678787118941352867,1678787118943379073,405
1678787119041352813,1678787119043378941,406
1678787119141352862,1678787119143379314,407
1678787119241352656,1678787119243378679,408
1678787119341352866,1678787119343378881,409
1678787119441356190,1678787119443382251,410
1678787119541352873,1678787119543379044,411
1678787119641356816,1678787119643384822,412
1678787119741353088,1678787119743379387,413
1678787119841352908,1678787119843379088,414
1678787119941352825,1678787119943379114,415
1678787120041352830,1678787120043379128,416
1678787120141352831,1678787120143379668,417
1678787120241352757,1678787120243378909,418
1678787120341352732,1678787120343378841,419
1678787120441356262,1678787120443382266,420
1678787120541352805,1678787120543378833,421
1678787120641359529,1678787120643387959,422
1678787120741353077,1678787120743379561,423
1678787120841353017,1678787120843379121,424
1678787120941352780,1678787120943378787,425
1678787121041352864,1678787121043378604,426
1678787121141352852,1678787121143378938,427
1678787121241352677,1678787121243378714,428
1678787121341352798,1678787121343378902,429
1678787121441356241,1678787121443382252,430
1678787121541352775,1678787121543378770,431
1678787121641355383,1678787121643384283,432
1678787121741353090,1678787121743379451,433
1678787121841352823,1678787121843378874,434
1678787121941352794,1678787121943378718,435
1678787122041352772,1678787122043378891,436
1678787122141352882,1678787122143378878,437
1678787122241352698,1678787122243378737,438
1678787122341352662,1678787122343378937,439
1678787122441356251,1678787122443382379,440
1678787122541352832,1678787122543378854,441
1678787122641352897,1678787122643379087,442
1678787122741353081,1678787122743379439,443
1678787122841352796,1678787122843378957,444
1678787122941352844,1678787122943379110,445
1678787123041352750,1678787123043379154,446
1678787123141352924,1678787123143379221,447
1678787123241352714,1678787123243379426,448
1678787123341352721,1678787123343379062,449
1678787123441356297,1678787123443382554,450
1678787123541352719,1678787123543378916,451
1678787123641352818,1678787123643379055,452
1678787123741353008,1678787123743379598,453
1678787123841352722,1678787123843379068,454
1678787123941352847,1678787123943379111,455
1678787124041353431,1678787124043379710,456
1678787124141352948,1678787124143379216,457
1678787124241352721,1678787124243378946,458
1678787124341352779,1678787124343378936,459
1678787124441356707,1678787124443382937,460
1678787124541352782,1678787124543378964,461
1678787124641352684,1678787124643378792,462
1678787124741353166,1678787124743379593,463
1678787124841352955,1678787124843379171,464
1678787124941352793,1678787124943378951,465
