t1,t2,seqnr
1678786238467302736,1678786238469092273,332
1678786238567327314,1678786238569202101,333
1678786238667300840,1678786238669187595,334
1678786238767305489,1678786238769265358,335
1678786238867275973,1678786238869227291,336
1678786238967297736,1678786238969236576,337
1678786239067252289,1678786239069186685,338
1678786239167233812,1678786239169216940,339
1678786239267179832,1678786239269083009,340
1678786239367299430,1678786239369288167,341
1678786239467304168,1678786239469092511,342
1678786239567330666,1678786239569248809,343
1678786239667326980,1678786239669266921,344
1678786239767300627,1678786239769261634,345
1678786239867309737,1678786239869273891,346
1678786239967306583,1678786239969301729,347
1678786240067215652,1678786240069171974,348
1678786240167210484,1678786240169209452,349
1678786240267163377,1678786240269156014,350
1678786240367162731,1678786240369150545,351
1678786240467301909,1678786240469128557,352
1678786240567317333,1678786240569114791,353
1678786240667302871,1678786240669140413,354
1678786240767302395,1678786240769228911,355
1678786240867298275,1678786240869248623,356
1678786240967302118,1678786240969283432,357
1678786241067219109,1678786241069116979,358
1678786241167147513,1678786241169107884,359
1678786241267311195,1678786241269277201,360
1678786241367305445,1678786241369042933,361
1678786241467298418,1678786241469131867,362
1678786241567224966,1678786241569096172,363
1678786241667303574,1678786241669196092,364
1678786241767307075,1678786241769300516,365
1678786241867304066,1678786241869276667,366
1678786241967275198,1678786241969235324,367
1678786242067199402,1678786242069062309,368
1678786242167181430,1678786242169038033,369
1678786242267308411,1678786242269084618,370
1678786242367299691,1678786242369237681,371
1678786242467294796,1678786242469138694,372
1678786242567315709,1678786242569306601,373
1678786242667166068,1678786242669173961,374
1678786242767305753,1678786242769161818,375
1678786242867296169,1678786242869150529,376
1678786242967299872,1678786242969136615,377
1678786243067172004,1678786243069138216,378
1678786243167315104,1678786243169149737,379
1678786243267311386,1678786243269152965,380
1678786243367303608,1678786243369148858,381
1678786243467300343,1678786243469121585,382
1678786243567314020,1678786243569174626,383
1678786243667168188,1678786243669159562,384
1678786243767304427,1678786243769149987,385
1678786243867271628,1678786243869146898,386
1678786243967302771,1678786243969149133,387
1678786244067165269,1678786244069152694,388
1678786244167300719,1678786244169149896,389
1678786244267305045,1678786244269148913,390
1678786244367311927,1678786244369165767,391
1678786244467292996,1678786244469129823,392
1678786244567308297,1678786244569148973,393
1678786244667303061,1678786244669152408,394
1678786244767172081,1678786244769151773,395
1678786244867302564,1678786244869150790,396
1678786244967300046,1678786244969137502,397
1678786245067307484,1678786245069136369,398
1678786245167303084,1678786245169141693,399
1678786245267296215,1678786245269141109,400
1678786245367301400,1678786245369141199,401
1678786245467296886,1678786245469155347,402
1678786245567295966,1678786245569165908,403
1678786245667300793,1678786245669146844,404
1678786245767153083,1678786245769152253,405
1678786245867304526,1678786245869153244,406
1678786245967302343,1678786245969152407,407
1678786246067333000,1678786246069157932,408
1678786246167304607,1678786246169147348,409
1678786246267299264,1678786246269142860,410
1678786246367323886,1678786246369151907,411
1678786246467293909,1678786246469155372,412
1678786246567292677,1678786246569160964,413
1678786246667164579,1678786246669150204,414
1678786246767307302,1678786246769149395,415
1678786246867305404,1678786246869148755,416
1678786246967307779,1678786246969146362,417
1678786247067303003,1678786247069150768,418
1678786247167168081,1678786247169149041,419
1678786247267305966,1678786247269155274,420
1678786247367303311,1678786247369155716,421
1678786247467293987,1678786247469157928,422
1678786247567293058,1678786247569166993,423
1678786247667269711,1678786247669136807,424
1678786247767321051,1678786247769136912,425
1678786247867305025,1678786247869147194,426
1678786247967298184,1678786247969137901,427
1678786248067302558,1678786248069139903,428
1678786248167302751,1678786248169150357,429
1678786248267165509,1678786248269151574,430
1678786248367322226,1678786248369164299,431
1678786248467282184,1678786248469150043,432
1678786248567291691,1678786248569166723,433
1678786248667306249,1678786248669152808,434
1678786248767307859,1678786248769146811,435
1678786248867306532,1678786248869151720,436
1678786248967304637,1678786248969147178,437
1678786249067301059,1678786249069149493,438
1678786249167299216,1678786249169147783,439
1678786249267223147,1678786249269153128,440
1678786249367306936,1678786249369152211,441
1678786249467298886,1678786249469155388,442
1678786249567263811,1678786249569163223,443
1678786249667188883,1678786249669149865,444
1678786249767317291,1678786249769149625,445
1678786249867168570,1678786249869150322,446
1678786249967301511,1678786249969150119,447
1678786250067148994,1678786250069154902,448
1678786250167293397,1678786250169155112,449
1678786250267298717,1678786250269144472,450
1678786250367292666,1678786250369152300,451
1678786250467304550,1678786250469152067,452
1678786250567243701,1678786250569172967,453
1678786250667323307,1678786250669157166,454
1678786250767307206,1678786250769137331,455
1678786250867302958,1678786250869146759,456
1678786250967302064,1678786250969135951,457
1678786251067166387,1678786251069138965,458
1678786251167301663,1678786251169139309,459
1678786251267160678,1678786251269151763,460
1678786251367304580,1678786251369157198,461
1678786251467288274,1678786251469158404,462
1678786251567348345,1678786251569169941,463
1678786251667311408,1678786251669137842,464
1678786251767317440,1678786251769142408,465
1678786251867307607,1678786251869149283,466
1678786251967218508,1678786251969143320,467
1678786252067301482,1678786252069148713,468
1678786252167299373,1678786252169149722,469
1678786252267306609,1678786252269152417,470
1678786252367303191,1678786252369151842,471
1678786252467309991,1678786252469133349,472
1678786252567202697,1678786252569161795,473
1678786252667326001,1678786252669150390,474
1678786252767314521,1678786252769151033,475
1678786252867302972,1678786252869149824,476
1678786252967306831,1678786252969136198,477
1678786253067209622,1678786253069145229,478
1678786253167293085,1678786253169157622,479
1678786253267305813,1678786253269155151,480
1678786253367306946,1678786253369155282,481
1678786253467301565,1678786253469155136,482
1678786253567307543,1678786253569175585,483
1678786253667296519,1678786253669146439,484
1678786253767308221,1678786253769150185,485
1678786253867157275,1678786253869150054,486
1678786253967295828,1678786253969154391,487
1678786254067160174,1678786254069150221,488
1678786254167296893,1678786254169148413,489
1678786254267303685,1678786254269139159,490
