t1,t2,seqnr
1678785170610995525,1678785170612774417,338
1678785170710989050,1678785170712774061,339
1678785170810990107,1678785170812774394,340
1678785170910990194,1678785170912774454,341
1678785171010993386,1678785171012774186,342
1678785171110992409,1678785171112759640,343
1678785171210967824,1678785171212763752,344
1678785171310996736,1678785171312770585,345
1678785171410801073,1678785171412773937,346
1678785171510988374,1678785171512773691,347
1678785171610804028,1678785171612773971,348
1678785171710993393,1678785171712773958,349
1678785171810995977,1678785171812771549,350
1678785171910980613,1678785171912774347,351
1678785172010995391,1678785172012773744,352
1678785172110806255,1678785172112759672,353
1678785172210995661,1678785172212761575,354
1678785172311002094,1678785172312779144,355
1678785172411006823,1678785172412771291,356
1678785172510991786,1678785172512774035,357
1678785172610987995,1678785172612773754,358
1678785172710994484,1678785172712774345,359
1678785172810987179,1678785172812773866,360
1678785172910987047,1678785172912773893,361
1678785173010990032,1678785173012775881,362
1678785173110814790,1678785173112759296,363
1678785173210994699,1678785173212761129,364
1678785173310837703,1678785173312772210,365
1678785173410988491,1678785173412774237,366
1678785173510986359,1678785173512774208,367
1678785173610987365,1678785173612774289,368
1678785173710805503,1678785173712772822,369
1678785173810989388,1678785173812773832,370
1678785173910987689,1678785173912774489,371
1678785174010988529,1678785174012774477,372
1678785174110993546,1678785174112774086,373
1678785174210805905,1678785174212774060,374
1678785174310987228,1678785174312774386,375
1678785174410986691,1678785174412771416,376
1678785174510990693,1678785174512760507,377
1678785174610992537,1678785174612766014,378
1678785174710802138,1678785174712772232,379
1678785174810991157,1678785174812774138,380
1678785174910986260,1678785174912774170,381
1678785175010989798,1678785175012772961,382
1678785175110992812,1678785175112775402,383
1678785175210994901,1678785175212715264,384
1678785175311002225,1678785175312768285,385
1678785175410988661,1678785175412772440,386
1678785175510916614,1678785175512774170,387
1678785175610991243,1678785175612773946,388
1678785175710995476,1678785175712774440,389
1678785175810991802,1678785175812777015,390
1678785175910993036,1678785175912773716,391
1678785176010806998,1678785176012774693,392
1678785176110996079,1678785176112774264,393
1678785176210991608,1678785176212761307,394
1678785176310978871,1678785176312771815,395
1678785176410990669,1678785176412772093,396
1678785176510995217,1678785176512772053,397
1678785176610945987,1678785176612773831,398
1678785176710998403,1678785176712773922,399
1678785176810806007,1678785176812778038,400
1678785176910982249,1678785176912774205,401
1678785177010805236,1678785177012774236,402
1678785177110805376,1678785177112775997,403
1678785177210996478,1678785177212717647,404
1678785177311001517,1678785177312771314,405
1678785177410806929,1678785177412772310,406
1678785177510991142,1678785177512774336,407
1678785177610991166,1678785177612773955,408
1678785177710997169,1678785177712774368,409
1678785177810993745,1678785177812773916,410
1678785177910993554,1678785177912773748,411
1678785178010803051,1678785178012773091,412
1678785178110797784,1678785178112774195,413
1678785178210990127,1678785178212760534,414
1678785178310970671,1678785178312772159,415
1678785178410834683,1678785178412803069,416
1678785178511007357,1678785178512774302,417
1678785178610987492,1678785178612773759,418
1678785178710995401,1678785178712773808,419
1678785178810805521,1678785178812773310,420
1678785178910990255,1678785178912773949,421
1678785179010987344,1678785179012774231,422
1678785179110989866,1678785179112773812,423
1678785179210803882,1678785179212761134,424
1678785179310814890,1678785179312767872,425
1678785179410999492,1678785179412773774,426
1678785179510991783,1678785179512772168,427
1678785179610806028,1678785179612772584,428
1678785179710989235,1678785179712773997,429
1678785179810995970,1678785179812773562,430
1678785179910988984,1678785179912774491,431
1678785180010994040,1678785180012773106,432
1678785180110995020,1678785180112773663,433
1678785180210780148,1678785180212776192,434
1678785180311002325,1678785180312779241,435
1678785180410805675,1678785180412772165,436
1678785180510992561,1678785180512774366,437
1678785180610992830,1678785180612774232,438
1678785180710987574,1678785180712773623,439
1678785180810994222,1678785180812774192,440
1678785180910990808,1678785180912773800,441
1678785181010806167,1678785181012775819,442
1678785181110991000,1678785181112774104,443
1678785181210961453,1678785181212761615,444
1678785181311019344,1678785181312768132,445
1678785181410985077,1678785181412774023,446
1678785181511000162,1678785181512774406,447
1678785181610993397,1678785181612774122,448
1678785181710991849,1678785181712774305,449
1678785181810942919,1678785181812775763,450
1678785181910999923,1678785181912774325,451
1678785182010990210,1678785182012773674,452
1678785182110989348,1678785182112773751,453
1678785182210967099,1678785182212760845,454
1678785182311023526,1678785182312768308,455
1678785182410984717,1678785182412772400,456
1678785182510991630,1678785182512774291,457
1678785182610993296,1678785182612774252,458
1678785182710986319,1678785182712773958,459
1678785182810810032,1678785182812773822,460
1678785182910986778,1678785182912774393,461
1678785183010989681,1678785183012774294,462
1678785183110968764,1678785183112774008,463
1678785183210986751,1678785183212760037,464
1678785183311017073,1678785183312768022,465
1678785183411001775,1678785183412772189,466
1678785183510991382,1678785183512772091,467
1678785183610816115,1678785183612774538,468
1678785183710987552,1678785183712773669,469
1678785183810994254,1678785183812775665,470
1678785183910997382,1678785183912774315,471
1678785184010825081,1678785184012773481,472
1678785184110988928,1678785184112775409,473
1678785184210980737,1678785184212718003,474
1678785184311005900,1678785184312766959,475
1678785184410801342,1678785184412774443,476
1678785184510989747,1678785184512772009,477
1678785184610994254,1678785184612773934,478
1678785184710993711,1678785184712774228,479
1678785184810997483,1678785184812774175,480
1678785184910993591,1678785184912774193,481
1678785185010960496,1678785185012774445,482
1678785185110997714,1678785185112773906,483
1678785185210986433,1678785185212714449,484
1678785185311011078,1678785185312764117,485
1678785185411007231,1678785185412771331,486
1678785185510993799,1678785185512772109,487
1678785185610979097,1678785185612774282,488
1678785185710989772,1678785185712773133,489
1678785185810989634,1678785185812730210,490
1678785185910988864,1678785185912761063,491
1678785186010991683,1678785186012772387,492
1678785186110995757,1678785186112774250,493
1678785186210984395,1678785186212774096,494
1678785186311000749,1678785186312774110,495
1678785186410990757,1678785186412773461,496
